DISTNAME,DISTITLE,tix_biking,tix_parking,pop_total,pop_asian,pop_black,pop_hispanic,pop_white,pop_other,pop_plurality,tix_bike_10k,tix_parking_10k
1,Rogers Park,476,99,55053,3526,14325,13530,22094,1578,white,86.5,18.0
2,West Ridge,121,16,73019,17097,7644,13088,32839,2351,white,16.6,2.2
3,Uptown,517,102,54062,5285,10785,6964,28972,2056,white,95.6,18.9
4,Lincoln Square,60,13,39547,4738,1525,6236,25865,1183,white,15.2,3.3
5,North Center,25,7,34815,1313,594,4817,27043,1048,white,7.2,2.0
6,Lake View,142,343,97968,6639,3430,7133,78123,2643,white,14.5,35.0
7,Lincoln Park,99,267,65951,3633,2691,4771,53345,1511,white,15.0,40.5
8,Near North Side,414,573,84305,9031,7908,4828,60299,2239,white,49.1,68.0
9,Edison Park,2,1,10993,218,117,857,9701,100,white,1.8,0.9
10,Norwood Park,12,4,36486,1354,343,4508,29607,674,white,3.3,1.1
11,Jefferson Park,59,3,26975,2341,340,5374,18362,558,white,21.9,1.1
12,Forest Glen,4,2,26104,3928,218,3220,18412,326,white,1.5,0.8
13,North Park,15,0,18058,4359,531,3864,8998,306,white,8.3,0.0
14,Albany Park,65,32,52930,7387,2017,26892,15421,1213,hispanic,12.3,6.0
15,Portage Park,208,2,64427,2866,827,26980,32755,999,white,32.3,0.3
16,Irving Park,62,28,56490,4287,1646,26558,22492,1507,hispanic,11.0,5.0
17,Dunning,35,1,43053,1583,694,11255,29060,461,white,8.1,0.2
18,Montclare,0,0,12840,740,464,7481,4051,104,hispanic,0.0,0.0
19,Belmont Cragin,293,3,79069,1273,2804,62790,11249,953,hispanic,37.1,0.4
20,Hermosa,67,11,24836,204,377,22174,1814,267,hispanic,27.0,4.4
21,Avondale,52,22,39117,1297,873,23537,12629,781,hispanic,13.3,5.6
22,Logan Square,210,26,74055,1896,3934,34658,32081,1486,hispanic,28.4,3.5
23,Humboldt Park,908,15,54515,270,22604,28095,2863,683,hispanic,166.6,2.8
24,West Town,331,270,84319,3244,6188,23730,48787,2370,white,39.3,32.0
25,Austin,1284,676,99711,475,83987,10249,4213,787,black,128.8,67.8
26,West Garfield Park,613,463,18885,49,18083,399,289,65,black,324.6,245.2
27,East Garfield Park,333,474,20271,59,18543,680,827,162,black,164.3,233.8
28,Near West Side,247,727,58899,8731,17802,6046,25091,1229,white,41.9,123.4
29,North Lawndale,1023,200,35623,84,32077,2358,713,391,black,287.2,56.1
30,South Lawndale,760,168,72881,170,8570,61499,2393,249,hispanic,104.3,23.1
31,Lower West Side,125,265,34979,383,1294,28661,4303,338,hispanic,35.7,75.8
32,Loop,170,241,30642,5131,3786,1823,19094,808,white,55.5,78.7
33,Near South Side,63,284,22021,4246,5558,1424,10087,706,white,28.6,129.0
34,Armour Square,16,13,13850,9750,1479,543,1610,468,asian,11.6,9.4
35,Douglas,90,81,19430,2540,13815,426,2329,320,black,46.3,41.7
36,Oakland,20,59,6473,140,6052,122,147,12,black,30.9,91.1
37,Fuller Park,8,0,2543,0,2289,191,52,11,black,31.5,0.0
38,Grand Boulevard,190,193,22531,102,20748,474,702,505,black,84.3,85.7
