GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",2247,391,897,273,735,205,162,146,149,144,13,20,0,11,0,11,0,11,871,218,263,136,0,11,561,194,47,56,0,11,0,11,0,11,33,38,129,85,46,66,271,171
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",3243,484,1734,272,1468,239,266,169,266,169,0,15,0,15,0,15,0,15,1080,344,505,243,0,15,463,167,112,76,0,15,32,45,19,31,102,97,106,63,0,15,170,94
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",1015,182,447,129,421,129,26,26,26,26,0,11,0,11,0,11,0,11,434,122,75,67,0,11,279,105,80,59,0,11,0,11,0,11,38,39,4,9,14,23,78,56
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",2896,323,1352,293,935,234,417,228,311,205,61,79,0,15,0,15,45,73,1226,277,441,192,0,15,689,214,96,92,0,15,0,15,0,15,67,42,64,55,68,90,119,61
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",2522,371,718,162,555,157,163,94,124,94,24,27,8,15,0,15,7,13,1158,260,404,170,0,15,612,164,142,90,0,15,0,15,0,15,51,64,353,143,4,9,238,108
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",2174,332,721,190,666,182,55,58,32,50,23,35,0,11,0,11,0,11,1113,234,451,179,0,11,578,178,84,73,0,11,0,11,0,11,35,39,107,77,36,60,162,121
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",2001,356,646,156,475,139,171,78,171,78,0,11,0,11,0,11,0,11,981,249,367,143,47,73,493,134,74,54,0,11,27,45,0,11,27,22,256,132,1,4,63,44
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",1065,211,454,151,387,131,67,64,67,64,0,11,0,11,0,11,0,11,382,134,25,25,0,11,301,126,56,47,0,11,0,11,0,11,27,36,163,78,0,11,39,32
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",3709,302,1426,280,1236,288,190,159,126,138,42,68,0,15,0,15,22,36,1686,410,328,153,0,15,1123,315,235,150,0,15,15,24,0,15,62,47,313,158,75,102,132,110
