X,Y,FID_1,Status,Match_addr,X,Y,id,ticketnum,date_,year_,unit,unitdesc,violation,violationd,license,licstate,lictype,address,city,state,zip,FID_2,CHICOMNO,DISTNAME,DISTITLE,CURRENCYEX,PPERCURREX,OID_,COMM_NUMBE,COMMUNITY_
-87.673023,42.005386,374,M,"6811 N CLARK ST, CHICAGO, IL 60626",-87.67302300000,42.00538600000,403,51579562,2006/12/31,2006,24,CPD,940060,PARK/STAND ON BICYCLE PATH,8056658,IL,PAS,6811 N .CLARK,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.659459,42.005448,390,M,"1100 W PRATT BLVD, CHICAGO, IL 60626",-87.65945900000,42.00544800000,421,51416762,2007/02/04,2007,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,TRK,1100 W PRATT,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.659459,42.005448,391,M,"1100 W PRATT BLVD, CHICAGO, IL 60626",-87.65945900000,42.00544800000,422,51416763,2007/02/04,2007,24,CPD,940060,PARK/STAND ON BICYCLE PATH,9584223,IL,PAS,1100 W PRATT,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.68167,42.019333,813,M,"2039 W HOWARD ST, CHICAGO, IL 60645",-87.68167000000,42.01933300000,876,53443320,2007/12/13,2007,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,2039 W HOWARD,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.66635,42.007791,1448,M,"1419 W MORSE AVE, CHICAGO, IL 60626",-87.66635000000,42.00779100000,1552,65630425,2015/02/21,2015,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1419 W MORSE,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.66892,42.012585,1681,M,"1544 W TOUHY AVE, CHICAGO, IL 60626",-87.66892000000,42.01258500000,1790,65816813,2015/04/17,2015,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1544 W TOUHY,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.669904,42.006962,2045,M,"6912 N ASHLAND AVE, CHICAGO, IL 60626",-87.66990400000,42.00696200000,2160,66844105,2016/02/02,2016,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,6912 N ASHLAND,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.671806,42.01927,2185,M,"1630 W HOWARD ST, CHICAGO, IL 60626",-87.67180600000,42.01927000000,2308,53501387,2008/02/08,2008,24,CPD,940060,PARK/STAND ON BICYCLE PATH,9504712,IL,PAS,1630 W HOWARD,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.671328,42.000318,2197,M,"6513 N CLARK ST, CHICAGO, IL 60626",-87.67132800000,42.00031800000,2322,54091976,2008/02/25,2008,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IN,PAS,6513 N CLARK,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.671165,41.999833,2198,M,"6500 N CLARK ST, CHICAGO, IL 60626",-87.67116500000,41.99983300000,2323,54091977,2008/02/25,2008,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,6500 N CLARK,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.671574,42.001039,2199,M,"6554 N CLARK ST, CHICAGO, IL 60626",-87.67157400000,42.00103900000,2324,54091978,2008/02/25,2008,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,6554 N CLARK,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.673951,42.009336,2200,M,"7014 N CLARK ST, CHICAGO, IL 60626",-87.67395100000,42.00933600000,2325,54091979,2008/02/25,2008,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,TMP,7014 N CLARK,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.673979,42.009462,2201,M,"7018 N CLARK ST, CHICAGO, IL 60626",-87.67397900000,42.00946200000,2326,54091980,2008/02/25,2008,24,CPD,940060,PARK/STAND ON BICYCLE PATH,9454336,IL,PAS,7018 N CLARK,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.674086,42.009836,2202,M,"7030 N CLARK ST, CHICAGO, IL 60626",-87.67408600000,42.00983600000,2327,54091981,2008/02/25,2008,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,AL,PAS,7030 N CLARK,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.674235,42.010406,2203,M,"7052 N CLARK ST, CHICAGO, IL 60626",-87.67423500000,42.01040600000,2328,54091982,2008/02/25,2008,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,7052 N CLARK,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.674371,42.011428,2204,M,"7109 N CLARK ST, CHICAGO, IL 60626",-87.67437100000,42.01142800000,2329,54091983,2008/02/25,2008,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,7109 N CLARK,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.674063,42.009754,2205,M,"7027 N CLARK ST, CHICAGO, IL 60626",-87.67406300000,42.00975400000,2330,54091984,2008/02/25,2008,24,CPD,940060,PARK/STAND ON BICYCLE PATH,3768782,IL,PAS,7027 N CLARK,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
-87.674025,42.009623,2206,M,"7023 N CLARK ST, CHICAGO, IL 60626",-87.67402500000,42.00962300000,2331,54091985,2008/02/25,2008,24,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,7023 N CLARK,Chicago,IL,,2,0001,1,Rogers Park,5,12723,0,1,Rogers Park
