id,ticket_num,issued,year,address,unit_num,unit_desc,violation_code,code_description,license,license_st,license_type,city,state,location,coors,fixed_location,xcord,ycord
0,49079243,1/1/06 13:56,2006,4211 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,6371677,IL,PAS,Chicago,IL,"4211 W 26TH ST Chicago, IL","[41.8438949585, -87.7299499512]",,41.84389496,-87.72994995
1,49079246,1/2/06 11:56,2006,4019 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,,IL,PAS,Chicago,IL,"4019 W 26TH ST Chicago, IL","[41.8442107737, -87.7253982425]",,41.84421077,-87.72539824
2,48828346,1/7/06 18:30,2006,5842 N WINTHROP,20,CPD,940060,PARK/STAND ON BICYCLE PATH,9608133,IL,PAS,Chicago,IL,"5842 N WINTHROP Chicago, IL","[41.9882252812, -87.6581083238]",,41.98822528,-87.65810832
3,48548116,1/2/06 23:50,2006,1042 W MARQUETTE,7,CPD,940060,PARK/STAND ON BICYCLE PATH,1897123,IL,PAS,Chicago,IL,"1042 W MARQUETTE Chicago, IL","[41.7726402283, -87.6511535645]",,41.77264023,-87.65115356
4,49418297,1/8/06 16:25,2006,3646 W LAWRENCE,17,CPD,940060,PARK/STAND ON BICYCLE PATH,1349193,IL,PAS,Chicago,IL,"3646 W LAWRENCE Chicago, IL","[41.9685897827, -87.7201385498]",,41.96858978,-87.72013855
5,49519733,1/8/06 8:23,2006,3319 W MARQUETTE RD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,187F625,IL,TMP,Chicago,IL,"3319 W MARQUETTE RD Chicago, IL","[41.7715658247, -87.7059213817]",,41.77156582,-87.70592138
6,49332822,1/10/06 19:05,2006,1235 S WABASH,1,CPD,940060,PARK/STAND ON BICYCLE PATH,7122326,IL,PAS,Chicago,IL,"1235 S WABASH Chicago, IL","[41.8664779663, -87.6253128052]",,41.86647797,-87.62531281
7,49519740,1/12/06 10:45,2006,3331 W MARQUETTE RD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,9584752,IL,PAS,Chicago,IL,"3331 W MARQUETTE RD Chicago, IL","[41.7715618014, -87.7061741799]",,41.7715618,-87.70617418
8,49580915,1/10/06 13:09,2006,908 W ARMITAGE,18,CPD,940060,PARK/STAND ON BICYCLE PATH,6372286,IL,PAS,Chicago,IL,"908 W ARMITAGE Chicago, IL","[41.9183998108, -87.6513748169]",,41.91839981,-87.65137482
9,49581690,1/11/06 20:04,2006,1246 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,4315TX,IL,TXI,Chicago,IL,"1246 N WELLS Chicago, IL","[41.9052581787, -87.6348495483]",,41.90525818,-87.63484955
