,Unnamed: 0,id,ticket_num,issued,year,address,unit_num,unit_desc,violation_code,code_description,license,license_st,license_type,city,state,location
0,0,1,49079243,1/1/06 13:56,2006,4211 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,6371677,IL,PAS,Chicago,IL,"4211 W 26TH ST Chicago, IL"
1,1,2,49079246,1/2/06 11:56,2006,4019 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,,IL,PAS,Chicago,IL,"4019 W 26TH ST Chicago, IL"
2,2,3,48828346,1/7/06 18:30,2006,5842 N WINTHROP,20,CPD,940060,PARK/STAND ON BICYCLE PATH,9608133,IL,PAS,Chicago,IL,"5842 N WINTHROP Chicago, IL"
3,3,4,48548116,1/2/06 23:50,2006,1042 W MARQUETTE,7,CPD,940060,PARK/STAND ON BICYCLE PATH,1897123,IL,PAS,Chicago,IL,"1042 W MARQUETTE Chicago, IL"
4,4,5,49418297,1/8/06 16:25,2006,3646 W LAWRENCE,17,CPD,940060,PARK/STAND ON BICYCLE PATH,1349193,IL,PAS,Chicago,IL,"3646 W LAWRENCE Chicago, IL"
5,5,6,49519733,1/8/06 8:23,2006,3319 W MARQUETTE RD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,187F625,IL,TMP,Chicago,IL,"3319 W MARQUETTE RD Chicago, IL"
6,6,7,49332822,1/10/06 19:05,2006,1235 S WABASH,1,CPD,940060,PARK/STAND ON BICYCLE PATH,7122326,IL,PAS,Chicago,IL,"1235 S WABASH Chicago, IL"
7,7,8,49519740,1/12/06 10:45,2006,3331 W MARQUETTE RD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,9584752,IL,PAS,Chicago,IL,"3331 W MARQUETTE RD Chicago, IL"
8,8,9,49580915,1/10/06 13:09,2006,908 W ARMITAGE,18,CPD,940060,PARK/STAND ON BICYCLE PATH,6372286,IL,PAS,Chicago,IL,"908 W ARMITAGE Chicago, IL"
9,9,10,49581690,1/11/06 20:04,2006,1246 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,4315TX,IL,TXI,Chicago,IL,"1246 N WELLS Chicago, IL"
10,10,11,49009845,1/12/06 12:47,2006,2038 N LINCOLN,216,CPD,940060,PARK/STAND ON BICYCLE PATH,GGZ2335,PA,PAS,Chicago,IL,"2038 N LINCOLN Chicago, IL"
11,11,12,49519743,1/16/06 8:26,2006,3301 W MARQUETTE ROAD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,684KBK,WI,PAS,Chicago,IL,"3301 W MARQUETTE ROAD Chicago, IL"
12,12,13,49194774,1/20/06 16:36,2006,2409 N SOUTHPORT,19,CPD,940060,PARK/STAND ON BICYCLE PATH,1726LJ,MI,PAS,Chicago,IL,"2409 N SOUTHPORT Chicago, IL"
13,13,14,48977748,1/21/06 20:26,2006,2019 W DIVISION,13,CPD,940060,PARK/STAND ON BICYCLE PATH,6419256,IL,PAS,Chicago,IL,"2019 W DIVISION Chicago, IL"
14,14,15,49323514,1/13/06 16:42,2006,1348 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,2410TX,IL,TXI,Chicago,IL,"1348 N WELLS Chicago, IL"
15,15,16,49511680,1/22/06 17:48,2006,869 N MILWAUKEE,13,CPD,940060,PARK/STAND ON BICYCLE PATH,5604197,IL,PAS,Chicago,IL,"869 N MILWAUKEE Chicago, IL"
16,16,17,49500253,1/22/06 11:01,2006,4010 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,2720517,IL,PAS,Chicago,IL,"4010 W 26TH ST Chicago, IL"
17,17,18,49262052,1/25/06 5:55,2006,2125 W DIVISION,13,CPD,940060,PARK/STAND ON BICYCLE PATH,897F658,IL,TMP,Chicago,IL,"2125 W DIVISION Chicago, IL"
18,18,19,47535466,1/25/06 5:15,2006,2823 N SEMINARY,19,CPD,940060,PARK/STAND ON BICYCLE PATH,863JZB,IA,PAS,Chicago,IL,"2823 N SEMINARY Chicago, IL"
19,19,20,49450487,1/22/06 20:40,2006,2264 N LINCOLN,18,CPD,940060,PARK/STAND ON BICYCLE PATH,7708031,IL,PAS,Chicago,IL,"2264 N LINCOLN Chicago, IL"
20,20,21,49593467,1/25/06 23:20,2006,4625 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,4525560,IL,PAS,Chicago,IL,"4625 S DREXEL Chicago, IL"
21,21,22,49440273,1/26/06 13:42,2006,4010 W 26TH STREET,10,CPD,940060,PARK/STAND ON BICYCLE PATH,13567G,IL,TRK,Chicago,IL,"4010 W 26TH STREET Chicago, IL"
22,22,23,49450913,1/23/06 13:07,2006,1716 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,B560253,IL,PAS,Chicago,IL,"1716 N WELLS Chicago, IL"
23,23,24,49515731,1/19/06 16:12,2006,1542 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,HLR702,IL,PAS,Chicago,IL,"1542 N WELLS Chicago, IL"
24,24,25,49319333,1/26/06 3:32,2006,8373 S BALTIMORE,4,CPD,940060,PARK/STAND ON BICYCLE PATH,6488565,IL,PAS,Chicago,IL,"8373 S BALTIMORE Chicago, IL"
25,25,26,49512504,1/26/06 20:36,2006,2327 W AUGUSTA,13,CPD,940060,PARK/STAND ON BICYCLE PATH,9645692,IL,PAS,Chicago,IL,"2327 W AUGUSTA Chicago, IL"
26,26,27,49512854,1/30/06 12:10,2006,1421 W AUGUSTA,13,CPD,940060,PARK/STAND ON BICYCLE PATH,84827H,IL,TRK,Chicago,IL,"1421 W AUGUSTA Chicago, IL"
27,27,28,49495487,2/4/06 16:28,2006,1562 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,2660265,IL,PAS,Chicago,IL,"1562 N WELLS Chicago, IL"
28,28,29,49384803,2/2/06 9:06,2006,25 S CANAL,152,CPD,940060,PARK/STAND ON BICYCLE PATH,478MF,IL,TRK,Chicago,IL,"25 S CANAL Chicago, IL"
29,29,30,49546964,2/6/06 16:25,2006,2740 N ELSTON,14,CPD,940060,PARK/STAND ON BICYCLE PATH,6723802,IL,PAS,Chicago,IL,"2740 N ELSTON Chicago, IL"
30,30,31,49756349,2/7/06 19:27,2006,1614 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,914TX,IL,TXI,Chicago,IL,"1614 N WELLS Chicago, IL"
31,31,32,48827538,2/11/06 2:18,2006,5861 W KENMORE,20,CPD,940060,PARK/STAND ON BICYCLE PATH,6337671,IL,PAS,Chicago,IL,"5861 W KENMORE Chicago, IL"
32,32,33,49511960,2/9/06 10:35,2006,2325 W WARREN BLVD,13,CPD,940060,PARK/STAND ON BICYCLE PATH,878F208,IL,TMP,Chicago,IL,"2325 W WARREN BLVD Chicago, IL"
33,33,34,49488692,2/13/06 17:55,2006,4901 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9064024,IL,PAS,Chicago,IL,"4901 S DREXEL Chicago, IL"
34,34,35,49504277,2/13/06 18:58,2006,1513 E MARQUETTE RD,3,CPD,940060,PARK/STAND ON BICYCLE PATH,4039917,IL,PAS,Chicago,IL,"1513 E MARQUETTE RD Chicago, IL"
35,35,36,49758207,2/14/06 12:48,2006,1645 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,TZV9845,IL,PAS,Chicago,IL,"1645 N WELLS Chicago, IL"
36,36,37,49498539,2/13/06 11:18,2006,1616 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,5861310,IL,PAS,Chicago,IL,"1616 N WELLS Chicago, IL"
37,37,38,49488701,2/13/06 18:01,2006,4915 S DREXEL BLVD,21,CPD,940060,PARK/STAND ON BICYCLE PATH,45R4529,IN,PAS,Chicago,IL,"4915 S DREXEL BLVD Chicago, IL"
38,38,39,49406469,2/21/06 20:10,2006,5201 N SIMONDS DR,20,CPD,940060,PARK/STAND ON BICYCLE PATH,475JTF,WI,PAS,Chicago,IL,"5201 N SIMONDS DR Chicago, IL"
39,39,40,49010236,2/3/06 4:05,2006,1746 N WELLS,216,CPD,940060,PARK/STAND ON BICYCLE PATH,17796,IL,PAS,Chicago,IL,"1746 N WELLS Chicago, IL"
40,40,41,49010237,2/3/06 16:08,2006,1748 N WELLS,216,CPD,940060,PARK/STAND ON BICYCLE PATH,1243332,IL,PAS,Chicago,IL,"1748 N WELLS Chicago, IL"
41,41,42,49902603,2/22/06 13:25,2006,1405 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,7031837,IL,PAS,Chicago,IL,"1405 N WELLS Chicago, IL"
42,42,43,49345479,2/21/06 13:00,2006,5655 N ELSTON,16,CPD,940060,PARK/STAND ON BICYCLE PATH,7429772,IL,PAS,Chicago,IL,"5655 N ELSTON Chicago, IL"
43,43,44,49489303,2/23/06 0:44,2006,4855 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,5774956,IL,PAS,Chicago,IL,"4855 S DREXEL Chicago, IL"
44,44,45,49736618,2/22/06 19:10,2006,1241 S WABASH,1,CPD,940060,PARK/STAND ON BICYCLE PATH,4496899,IL,PAS,Chicago,IL,"1241 S WABASH Chicago, IL"
