ticket_num,location,city,state,zip
49079243,4211 W 26TH ST,Chicago,IL,
49079246,4019 W 26TH ST,Chicago,IL,
48828346,5842 N WINTHROP,Chicago,IL,
48548116,1042 W MARQUETTE,Chicago,IL,
49418297,3646 W LAWRENCE,Chicago,IL,
49519733,3319 W MARQUETTE RD,Chicago,IL,
49332822,1235 S WABASH,Chicago,IL,
49519740,3331 W MARQUETTE RD,Chicago,IL,
49580915,908 W ARMITAGE,Chicago,IL,
49581690,1246 N WELLS,Chicago,IL,
49009845,2038 N LINCOLN,Chicago,IL,
49519743,3301 W MARQUETTE ROAD,Chicago,IL,
49194774,2409 N SOUTHPORT,Chicago,IL,
48977748,2019 W DIVISION,Chicago,IL,
49323514,1348 N WELLS,Chicago,IL,
49511680,869 N MILWAUKEE,Chicago,IL,
49500253,4010 W 26TH ST,Chicago,IL,
49262052,2125 W DIVISION,Chicago,IL,
47535466,2823 N SEMINARY,Chicago,IL,
49450487,2264 N LINCOLN,Chicago,IL,
49593467,4625 S DREXEL,Chicago,IL,
49440273,4010 W 26TH STREET,Chicago,IL,
49450913,1716 N WELLS,Chicago,IL,
49515731,1542 N WELLS,Chicago,IL,
49319333,8373 S BALTIMORE,Chicago,IL,
49512504,2327 W AUGUSTA,Chicago,IL,
49512854,1421 W AUGUSTA,Chicago,IL,
49495487,1562 N WELLS,Chicago,IL,
49384803,25 S CANAL,Chicago,IL,
49546964,2740 N ELSTON,Chicago,IL,
49756349,1614 N WELLS,Chicago,IL,
48827538,5861 N KENMORE,Chicago,IL,
49511960,2325 W WARREN BLVD,Chicago,IL,
49488692,4901 S DREXEL,Chicago,IL,
49504277,1513 E MARQUETTE RD,Chicago,IL,
49758207,1645 N WELLS,Chicago,IL,
49498539,1616 N WELLS,Chicago,IL,
49488701,4915 S DREXEL BLVD,Chicago,IL,
49406469,5201 N SIMONDS DR,Chicago,IL,
49010236,1746 N WELLS,Chicago,IL,
49010237,1748 N WELLS,Chicago,IL,
49902603,1405 N WELLS,Chicago,IL,
49345479,5655 N ELSTON,Chicago,IL,
49489303,4855 S DREXEL,Chicago,IL,
49736618,1241 S WABASH,Chicago,IL,
49447345,2114 S TRUMBULL,Chicago,IL,
49736026,1231 S WABASG,Chicago,IL,
49008776,1548 N WELLS,Chicago,IL,
49008777,1317 N WELLS,Chicago,IL,
49676157,4700 N LAKE SHORE DR,Chicago,IL,
49497380,2274 N LINCOLN,Chicago,IL,
49903026,1007 W ARMITAGE,Chicago,IL,
49912638,1866 N DAMEN,Chicago,IL,
49491805,4910 S DREXEL,Chicago,IL,
49446607,1829 S CENTRAL PK,Chicago,IL,
49656281,2331 S CENTRAL PARK,Chicago,IL,
49656282,1541 S CENTRAL PARK,Chicago,IL,
49782555,1623 N HALSTED,Chicago,IL,
49815186,1407 N WELLS,Chicago,IL,
50146251,235 W 83RD ST,Chicago,IL,
50146254,103 E 83RD ST,Chicago,IL,
49522994,4078 W 26TH ST,Chicago,IL,
49759821,3310 W MARQUETTE ROAD,Chicago,IL,
48905065,4612 N KEDZIE,Chicago,IL,
48905069,4614  KEDZIE,Chicago,IL,
49509288,7357 S SOUTH SHORE DR,Chicago,IL,
49759822,3325 W MARQUETTE ROAD,Chicago,IL,
49759823,3239 W MARQUETTE ROAD,Chicago,IL,
50034652,1721 W DIVISION,Chicago,IL,
49437260,7458 S SOUTH SHORE DR,Chicago,IL,
49492458,4825 S DREXEL,Chicago,IL,
49492463,4821 S DREXEL,Chicago,IL,
49492466,4829 S DREXEL,Chicago,IL,
49492468,4829 S DREXEL,Chicago,IL,
49492470,4625 S DREXEL,Chicago,IL,
49492472,4625 S DREXEL,Chicago,IL,
50002538,1617 N WELLS,Chicago,IL,
50002624,1531 N WELLS,Chicago,IL,
49493334,4659 S DREXEL,Chicago,IL,
49493487,4659 S DREXEL,Chicago,IL,
49493488,4657 S DREXEL,Chicago,IL,
49493489,4613 S DREXEL,Chicago,IL,
49493495,4825 S DREXEL,Chicago,IL,
49817386,1604 N WELLS,Chicago,IL,
49461589,716 W 67TH,Chicago,IL,
49493506,3901 S LAKE SHORE DR,Chicago,IL,
49493731,4825 S DREXEL,Chicago,IL,
49815665,1551 N WELLS,Chicago,IL,
49493907,442 S DREXEL,Chicago,IL,
49493963,4430 S DREXEL BLVD,Chicago,IL,
49493964,4420 S DREXEL BLVD,Chicago,IL,
49433938,3131 N CLARK,Chicago,IL,
