id,ticket_num,issued,year,address,unit_num,unit_desc,violation_code,code_description,license,license_st,license_type,city,state,location,coors,centroid
31,48827538,2/10/02 2:18,2006,5861 W KENMORE,20,CPD,940060,PARK/STAND ON BICYCLE PATH,6337671,IL,PAS,Chicago,IL,"5861 N KENMORE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
105,49844252,4/10/02 16:38,2006,4617 S DREXEL D,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7654153,IL,PAS,Chicago,IL,"4617 S DREXEL BLVD Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
180,50258313,6/6/02 6:31,2006,1227 W 6700 STREET,7,CPD,940060,PARK/STAND ON BICYCLE PATH,162F745,IL,TMP,Chicago,IL,"1227 W 6700 STREET Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
264,50337602,7/13/02 18:49,2006,3901 S 3LAKE SHORE DR,21,CPD,940060,PARK/STAND ON BICYCLE PATH,2285094,IL,PAS,Chicago,IL,"3901 S LAKE SHORE DR Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
408,51604384,1/9/03 16:35,2007,5122 E 26STREET,21,CPD,940060,PARK/STAND ON BICYCLE PATH,158TX,IL,TXI,Chicago,IL,"5122 E 26 STREET Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
534,52064042,5/23/03 12:01,2007,4010 W 26THS T,10,CPD,940060,PARK/STAND ON BICYCLE PATH,4617564,IL,PAS,Chicago,IL,"4010 W 26TH ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
551,52396366,6/4/03 18:45,2007,747 W WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,29334PV,IL,DOM,Chicago,IL,"747 W WELLS Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
637,52479397,8/5/03 18:10,2007,5536 S RUSSELL,2,CPD,940060,PARK/STAND ON BICYCLE PATH,9669796,IL,PAS,Chicago,IL,"5536 S RUSSELL Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
653,52408583,8/7/03 16:55,2007,4402 N LAWRENCE,17,CPD,940060,PARK/STAND ON BICYCLE PATH,71922F,IL,TRK,Chicago,IL,"4402 W LAWRENCE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
679,52827042,8/27/03 6:49,2007,1549 S BLUE,12,CPD,940060,PARK/STAND ON BICYCLE PATH,D502855,IL,PAS,Chicago,IL,"1549 S BLUE ISLAND AVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
757,52957639,9/24/03 21:45,2007,1551 S BLUEI SLAND,12,CPD,940060,PARK/STAND ON BICYCLE PATH,6950539,IL,PAS,Chicago,IL,"1551 S BLUE  ISLAND AVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
982,55298101,7/2/04 14:00,2008,5304 S PAYNE,2,CPD,940060,PARK/STAND ON BICYCLE PATH,85780P,IL,PAS,Chicago,IL,"5304 PAYNE Dr Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
1215,9090219525,9/7/05 19:05,2009,123 S 123 MAIN ST,4,CPD,940060,PARK/STAND ON BICYCLE PATH,XGHY76,IL,PAS,Chicago,IL,"123 S 123 MAIN ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
1221,56664085,9/20/05 9:05,2009,5731 N LAKE FRONT,20,CPD,940060,PARK/STAND ON BICYCLE PATH,41008B,IL,TRK,Chicago,IL,"5731 N LAKE FRONT Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
1388,62761310,4/11/09 6:15,2013,2351 W BLUE ISLAND,10,CPD,940060,PARK/STAND ON BICYCLE PATH,R169030,IL,PAS,Chicago,IL,"2351 S BLUE ISLAND AVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
1389,62761311,4/11/09 6:17,2013,2345 W BLUE ISLAND,10,CPD,940060,PARK/STAND ON BICYCLE PATH,R407804,IL,PAS,Chicago,IL,"2345 S BLUE ISLAND AVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
1479,65511203,1/25/11 17:18,2015,3408 W LAKES T,11,CPD,940060,PARK/STAND ON BICYCLE PATH,3491601,IL,PAS,Chicago,IL,"3408 W LAKES ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
1778,64364925,4/12/11 15:18,2015,3029 S M L KING DR,1,CPD,940060,PARK/STAND ON BICYCLE PATH,377125D,IL,PAS,Chicago,IL,"3029 S KING DR Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
1858,66126072,11/3/11 20:37,2015,817 E 39TH ST,2,CPD,940060,PARK/STAND ON BICYCLE PATH,Y729212,IL,PAS,Chicago,IL,"817 E 39TH ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
2286,53456161,1/25/04 9:57,2008,4226 W 26THS T,10,CPD,940060,PARK/STAND ON BICYCLE PATH,6262588,IL,PAS,Chicago,IL,"4226 W 26TH ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
2289,53571257,1/28/04 16:11,2008,4122 W 26THS T,10,CPD,940060,PARK/STAND ON BICYCLE PATH,1270980,IL,PAS,Chicago,IL,"4122 W 26TH ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
2290,53571261,1/28/04 16:17,2008,4055 W 26THS T,10,CPD,940060,PARK/STAND ON BICYCLE PATH,8039227,IL,PAS,Chicago,IL,"4055 W 26TH ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
2312,53998049,2/14/04 7:55,2008,6317 W KENMORE,24,CPD,940060,PARK/STAND ON BICYCLE PATH,G895633,IL,PAS,Chicago,IL,"6317 N KENMORE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
2796,56997265,6/23/05 20:58,2009,30 S OGDEN,12,CPD,940060,PARK/STAND ON BICYCLE PATH,6948984,IL,PAS,Chicago,IL,"30 S OGDEN Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
2905,57352834,5/13/06 11:50,2010,2359 N LAKESHORE,55,CPD,940060,PARK/STAND ON BICYCLE PATH,9793694,IL,PAS,Chicago,IL,"2359 N LAKE SHORE DRIVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
3040,9090273680,1/7/07 6:32,2011,1 N 123 MAIN ST,25,CPD,940060,PARK/STAND ON BICYCLE PATH,1,IL,PAS,Chicago,IL,"1 N 123 MAIN ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
3327,61265792,7/6/08 15:49,2012,640 S RAINEY DR,2,CPD,940060,PARK/STAND ON BICYCLE PATH,834SKS,WI,PAS,Chicago,IL,"640 RAINEY DR Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
3328,61265793,7/6/08 15:49,2012,638 E RAINEY DR,2,CPD,940060,PARK/STAND ON BICYCLE PATH,N889808,IL,PAS,Chicago,IL,"638 RAINEY DR Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
3334,61265801,7/6/08 20:30,2012,678 E RAINEY DR,2,CPD,940060,PARK/STAND ON BICYCLE PATH,N498458,IL,HCP,Chicago,IL,"678 RAINEY DR Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
3337,61265806,7/7/08 16:28,2012,638 E RAINEY RD,2,CPD,940060,PARK/STAND ON BICYCLE PATH,X458035,IL,PAS,Chicago,IL,"638 RAINEY RD Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
3427,61298742,8/4/08 19:20,2012,3630 W JACKSO3N,11,CPD,940060,PARK/STAND ON BICYCLE PATH,,IL,PAS,Chicago,IL,"3630 W JACKSON Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
3437,61586225,8/20/08 15:05,2012,1638 S OGDEN,12,CPD,940060,PARK/STAND ON BICYCLE PATH,L447041,IL,PAS,Chicago,IL,"1638 S OGDEN Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
3584,9090334540,8/6/09 9:55,2013,123 N 123 MAIN ST,25,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,Chicago,IL,"123 N 123 MAIN ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
3979,64746934,7/17/10 20:26,2014,5505 S PAYNE DRIVE,2,CPD,940060,PARK/STAND ON BICYCLE PATH,4974941,IL,PAS,Chicago,IL,"5505 PAYNE DRIVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
3980,64746936,7/17/10 20:32,2014,5509 S PAYNE DRIVE,2,CPD,940060,PARK/STAND ON BICYCLE PATH,PUB36,IL,PAS,Chicago,IL,"5509 PAYNE DRIVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
3981,64746937,7/17/10 20:34,2014,5509 S PAYNE DRIVE,2,CPD,940060,PARK/STAND ON BICYCLE PATH,N659708,IL,PAS,Chicago,IL,"5509 PAYNE DRIVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
4032,64544432,8/20/10 18:51,2014,624 W 26THS T,9,CPD,940060,PARK/STAND ON BICYCLE PATH,S817435,IL,PAS,Chicago,IL,"624 W 26TH ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
4128,65018129,9/30/10 23:02,2014,2001 E HAYES DRIVE,3,CPD,940060,PARK/STAND ON BICYCLE PATH,E185667,IL,PAS,Chicago,IL,"2001 E HAYES DRIVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
4129,65018130,9/30/10 23:02,2014,2001 E HAYES DRIVE,3,CPD,940060,PARK/STAND ON BICYCLE PATH,9181515,IL,PAS,Chicago,IL,"2001 E HAYES DRIVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
4380,65992048,7/3/11 15:44,2015,3711 E 100TH T,412,CPD-Other,940060,PARK/STAND ON BICYCLE PATH,E847119,IL,PAS,Chicago,IL,"3711 E 100TH ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
