id,ticketnum,date,year,unit,unitdesc,violation,violationdesc,license,licstate,lictype,address,city,state,zip
0,49079243,1/1/06 13:56,2006,10,CPD,940060,PARK/STAND ON BICYCLE PATH,6371677,IL,PAS,4211 W 26TH ST,Chicago,IL,
1,49079246,1/2/06 11:56,2006,10,CPD,940060,PARK/STAND ON BICYCLE PATH,,IL,PAS,4019 W 26TH ST,Chicago,IL,
2,48828346,1/7/06 18:30,2006,20,CPD,940060,PARK/STAND ON BICYCLE PATH,9608133,IL,PAS,5842 N WINTHROP,Chicago,IL,
3,48548116,1/2/06 23:50,2006,7,CPD,940060,PARK/STAND ON BICYCLE PATH,1897123,IL,PAS,1042 W MARQUETTE,Chicago,IL,
4,49418297,1/8/06 16:25,2006,17,CPD,940060,PARK/STAND ON BICYCLE PATH,1349193,IL,PAS,3646 W LAWRENCE,Chicago,IL,
5,49519733,1/8/06 8:23,2006,8,CPD,940060,PARK/STAND ON BICYCLE PATH,187F625,IL,TMP,3319 W MARQUETTE RD,Chicago,IL,
6,49332822,1/10/06 19:05,2006,1,CPD,940060,PARK/STAND ON BICYCLE PATH,7122326,IL,PAS,1235 S WABASH,Chicago,IL,
7,49519740,1/12/06 10:45,2006,8,CPD,940060,PARK/STAND ON BICYCLE PATH,9584752,IL,PAS,3331 W MARQUETTE RD,Chicago,IL,
8,49580915,1/10/06 13:09,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,6372286,IL,PAS,908 W ARMITAGE,Chicago,IL,
9,49581690,1/11/06 20:04,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,4315TX,IL,TXI,1246 N WELLS,Chicago,IL,
10,49009845,1/12/06 12:47,2006,216,CPD,940060,PARK/STAND ON BICYCLE PATH,GGZ2335,PA,PAS,2038 N LINCOLN,Chicago,IL,
11,49519743,1/16/06 8:26,2006,8,CPD,940060,PARK/STAND ON BICYCLE PATH,684KBK,WI,PAS,3301 W MARQUETTE ROAD,Chicago,IL,
12,49194774,1/20/06 16:36,2006,19,CPD,940060,PARK/STAND ON BICYCLE PATH,1726LJ,MI,PAS,2409 N SOUTHPORT,Chicago,IL,
13,48977748,1/21/06 20:26,2006,13,CPD,940060,PARK/STAND ON BICYCLE PATH,6419256,IL,PAS,2019 W DIVISION,Chicago,IL,
14,49323514,1/13/06 16:42,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,2410TX,IL,TXI,1348 N WELLS,Chicago,IL,
15,49511680,1/22/06 17:48,2006,13,CPD,940060,PARK/STAND ON BICYCLE PATH,5604197,IL,PAS,869 N MILWAUKEE,Chicago,IL,
16,49500253,1/22/06 11:01,2006,10,CPD,940060,PARK/STAND ON BICYCLE PATH,2720517,IL,PAS,4010 W 26TH ST,Chicago,IL,
17,49262052,1/25/06 5:55,2006,13,CPD,940060,PARK/STAND ON BICYCLE PATH,897F658,IL,TMP,2125 W DIVISION,Chicago,IL,
18,47535466,1/25/06 5:15,2006,19,CPD,940060,PARK/STAND ON BICYCLE PATH,863JZB,IA,PAS,2823 N SEMINARY,Chicago,IL,
19,49450487,1/22/06 20:40,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,7708031,IL,PAS,2264 N LINCOLN,Chicago,IL,
20,49593467,1/25/06 23:20,2006,21,CPD,940060,PARK/STAND ON BICYCLE PATH,4525560,IL,PAS,4625 S DREXEL,Chicago,IL,
21,49440273,1/26/06 13:42,2006,10,CPD,940060,PARK/STAND ON BICYCLE PATH,13567G,IL,TRK,4010 W 26TH STREET,Chicago,IL,
22,49450913,1/23/06 13:07,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,B560253,IL,PAS,1716 N WELLS,Chicago,IL,
23,49515731,1/19/06 16:12,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,HLR702,IL,PAS,1542 N WELLS,Chicago,IL,
24,49319333,1/26/06 3:32,2006,4,CPD,940060,PARK/STAND ON BICYCLE PATH,6488565,IL,PAS,8373 S BALTIMORE,Chicago,IL,
25,49512504,1/26/06 20:36,2006,13,CPD,940060,PARK/STAND ON BICYCLE PATH,9645692,IL,PAS,2327 W AUGUSTA,Chicago,IL,
26,49512854,1/30/06 12:10,2006,13,CPD,940060,PARK/STAND ON BICYCLE PATH,84827H,IL,TRK,1421 W AUGUSTA,Chicago,IL,
27,49495487,2/4/06 16:28,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,2660265,IL,PAS,1562 N WELLS,Chicago,IL,
28,49384803,2/2/06 9:06,2006,152,CPD,940060,PARK/STAND ON BICYCLE PATH,478MF,IL,TRK,25 S CANAL,Chicago,IL,
29,49546964,2/6/06 16:25,2006,14,CPD,940060,PARK/STAND ON BICYCLE PATH,6723802,IL,PAS,2740 N ELSTON,Chicago,IL,
30,49756349,2/7/06 19:27,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,914TX,IL,TXI,1614 N WELLS,Chicago,IL,
31,48827538,2/11/06 2:18,2006,20,CPD,940060,PARK/STAND ON BICYCLE PATH,6337671,IL,PAS,5861 W KENMORE,Chicago,IL,
32,49511960,2/9/06 10:35,2006,13,CPD,940060,PARK/STAND ON BICYCLE PATH,878F208,IL,TMP,2325 W WARREN BLVD,Chicago,IL,
33,49488692,2/13/06 17:55,2006,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9064024,IL,PAS,4901 S DREXEL,Chicago,IL,
34,49504277,2/13/06 18:58,2006,3,CPD,940060,PARK/STAND ON BICYCLE PATH,4039917,IL,PAS,1513 E MARQUETTE RD,Chicago,IL,
35,49758207,2/14/06 12:48,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,TZV9845,IL,PAS,1645 N WELLS,Chicago,IL,
36,49498539,2/13/06 11:18,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,5861310,IL,PAS,1616 N WELLS,Chicago,IL,
37,49488701,2/13/06 18:01,2006,21,CPD,940060,PARK/STAND ON BICYCLE PATH,45R4529,IN,PAS,4915 S DREXEL BLVD,Chicago,IL,
38,49406469,2/21/06 20:10,2006,20,CPD,940060,PARK/STAND ON BICYCLE PATH,475JTF,WI,PAS,5201 N SIMONDS DR,Chicago,IL,
39,49010236,2/3/06 4:05,2006,216,CPD,940060,PARK/STAND ON BICYCLE PATH,17796,IL,PAS,1746 N WELLS,Chicago,IL,
40,49010237,2/3/06 16:08,2006,216,CPD,940060,PARK/STAND ON BICYCLE PATH,1243332,IL,PAS,1748 N WELLS,Chicago,IL,
