Status,Match_addr,X,Y,id,ticketnum,date_,year_,unit,unitdesc,violation,violationd,license,licstate,lictype,address,city,state,zip
M,"4211 W 26TH ST, CHICAGO, IL 60623",-87.729785,41.844076,0,49079243,1/1/06 0:00,2006,10,CPD,940060,PARK/STAND ON BICYCLE PATH,6371677,IL,PAS,4211 W 26TH ST,Chicago,IL, 
M,"4019 W 26TH ST, CHICAGO, IL 60623",-87.725264,41.844149,1,49079246,1/2/06 0:00,2006,10,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,4019 W 26TH ST,Chicago,IL, 
M,"5842 N WINTHROP AVE, CHICAGO, IL 60660",-87.658153,41.98845,2,48828346,1/7/06 0:00,2006,20,CPD,940060,PARK/STAND ON BICYCLE PATH,9608133,IL,PAS,5842 N WINTHROP,Chicago,IL, 
M,"1042 W MARQUETTE RD, CHICAGO, IL 60621",-87.650794,41.772276,3,48548116,1/2/06 0:00,2006,7,CPD,940060,PARK/STAND ON BICYCLE PATH,1897123,IL,PAS,1042 W MARQUETTE,Chicago,IL, 
M,"3646 W LAWRENCE AVE, CHICAGO, IL 60625",-87.719657,41.968192,4,49418297,1/8/06 0:00,2006,17,CPD,940060,PARK/STAND ON BICYCLE PATH,1349193,IL,PAS,3646 W LAWRENCE,Chicago,IL, 
M,"3319 W MARQUETTE RD, CHICAGO, IL 60629",-87.705778,41.771542,5,49519733,1/8/06 0:00,2006,8,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,TMP,3319 W MARQUETTE RD,Chicago,IL, 
M,"1235 S WABASH AVE, CHICAGO, IL 60605",-87.625818,41.866781,6,49332822,1/10/06 0:00,2006,1,CPD,940060,PARK/STAND ON BICYCLE PATH,7122326,IL,PAS,1235 S WABASH,Chicago,IL, 
M,"3331 W MARQUETTE RD, CHICAGO, IL 60629",-87.70606,41.771538,7,49519740,1/12/06 0:00,2006,8,CPD,940060,PARK/STAND ON BICYCLE PATH,9584752,IL,PAS,3331 W MARQUETTE RD,Chicago,IL, 
M,"908 W ARMITAGE AVE, CHICAGO, IL 60614",-87.651287,41.918145,8,49580915,1/10/06 0:00,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,6372286,IL,PAS,908 W ARMITAGE,Chicago,IL, 
M,"1246 N WELLS ST, CHICAGO, IL 60610",-87.634501,41.905099,9,49581690,1/11/06 0:00,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,TXI,1246 N WELLS,Chicago,IL, 
M,"2038 N LINCOLN AVE, CHICAGO, IL 60614",-87.639775,41.919028,10,49009845,1/12/06 0:00,2006,216,CPD,940060,PARK/STAND ON BICYCLE PATH,0,PA,PAS,2038 N LINCOLN,Chicago,IL, 
M,"3301 W MARQUETTE RD, CHICAGO, IL 60629",-87.705354,41.771548,11,49519743,1/16/06 0:00,2006,8,CPD,940060,PARK/STAND ON BICYCLE PATH,0,WI,PAS,3301 W MARQUETTE ROAD,Chicago,IL, 
M,"2409 N SOUTHPORT AVE, CHICAGO, IL 60614",-87.663322,41.925407,12,49194774,1/20/06 0:00,2006,19,CPD,940060,PARK/STAND ON BICYCLE PATH,0,MI,PAS,2409 N SOUTHPORT,Chicago,IL, 
M,"2019 W DIVISION ST, CHICAGO, IL 60622",-87.677737,41.903177,13,48977748,1/21/06 0:00,2006,13,CPD,940060,PARK/STAND ON BICYCLE PATH,6419256,IL,PAS,2019 W DIVISION,Chicago,IL, 
M,"1348 N WELLS ST, CHICAGO, IL 60610",-87.63458,41.9069,14,49323514,1/13/06 0:00,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,TXI,1348 N WELLS,Chicago,IL, 
M,"4010 W 26TH ST, CHICAGO, IL 60623",-87.724898,41.844155,16,49500253,1/22/06 0:00,2006,10,CPD,940060,PARK/STAND ON BICYCLE PATH,2720517,IL,PAS,4010 W 26TH ST,Chicago,IL, 
M,"2125 W DIVISION ST, CHICAGO, IL 60622",-87.680311,41.903141,17,49262052,1/25/06 0:00,2006,13,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,TMP,2125 W DIVISION,Chicago,IL, 
M,"2823 N SEMINARY AVE, CHICAGO, IL 60657",-87.656289,41.933174,18,47535466,1/25/06 0:00,2006,19,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IA,PAS,2823 N SEMINARY,Chicago,IL, 
M,"2264 N LINCOLN AVE, CHICAGO, IL 60614",-87.645368,41.923029,19,49450487,1/22/06 0:00,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,7708031,IL,PAS,2264 N LINCOLN,Chicago,IL, 
M,"4625 S DREXEL AVE, CHICAGO, IL 60653",-87.603893,41.810809,20,49593467,1/25/06 0:00,2006,21,CPD,940060,PARK/STAND ON BICYCLE PATH,4525560,IL,PAS,4625 S DREXEL,Chicago,IL, 
M,"4010 W 26TH ST, CHICAGO, IL 60623",-87.724898,41.844155,21,49440273,1/26/06 0:00,2006,10,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,TRK,4010 W 26TH STREET,Chicago,IL, 
M,"1716 N WELLS ST, CHICAGO, IL 60614",-87.634756,41.913398,22,49450913,1/23/06 0:00,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1716 N WELLS,Chicago,IL, 
M,"1542 N WELLS ST, CHICAGO, IL 60610",-87.634671,41.91034,23,49515731,1/19/06 0:00,2006,18,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1542 N WELLS,Chicago,IL, 
M,"8373 S BALTIMORE AVE, CHICAGO, IL 60617",-87.553438,41.743325,24,49319333,1/26/06 0:00,2006,4,CPD,940060,PARK/STAND ON BICYCLE PATH,6488565,IL,PAS,8373 S BALTIMORE,Chicago,IL, 
M,"2327 W AUGUSTA BLVD, CHICAGO, IL 60622",-87.685136,41.899409,25,49512504,1/26/06 0:00,2006,13,CPD,940060,PARK/STAND ON BICYCLE PATH,9645692,IL,PAS,2327 W AUGUSTA,Chicago,IL, 
