Status,Match_addr,X,Y,id,ticketnum,date_,year_,unit,unitdesc,violation,violationd,license,licstate,lictype,address,city,state,zip
M,"1017 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.664172,41.883561,262,50295239,6/12/06 0:00,2006,12,CPD,940060,PARK/STAND ON BICYCLE PATH,4467441,IL,PAS,1017 W WASHINGTON,CHICAGO,IL,60607
M,"1017 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.664172,41.883561,2493,54200414,4/23/08 0:00,2008,216,CPD,940060,PARK/STAND ON BICYCLE PATH,7631647,IL,PAS,1017 W WASHINGTON,CHICAGO,IL,60607
M,"1017 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.664172,41.883561,4874,58501833,10/7/10 0:00,2010,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1017 W WASHINGTON,CHICAGO,IL,60607
M,"1019 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.664178,41.883555,764,52681783,8/27/07 0:00,2007,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1019 W WASHINGTON,CHICAGO,IL,60607
M,"1029 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.664209,41.883525,4841,58260933,4/28/10 0:00,2010,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,TXI,1029 W WASHINGTON,CHICAGO,IL,60607
M,"1033 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.664221,41.883513,1280,57635973,12/1/09 0:00,2009,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1033 W WASHINGTON,CHICAGO,IL,60607
M,"1115 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.664457,41.883263,605,52657585,7/23/07 0:00,2007,152,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1115 W WASHINGTON,CHICAGO,IL,60607
M,"1121 W 18TH ST, CHICAGO, IL 60608",-87.654139,41.857983,3500,63341292,7/5/13 0:00,2013,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1121 W 18TH,CHICAGO,IL,60608
M,"1133 W 18TH ST, CHICAGO, IL 60608",-87.654568,41.857982,5326,62080362,12/12/12 0:00,2012,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1133 W 18TH,CHICAGO,IL,60608
M,"1141 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.664525,41.88318,3078,58890118,2/18/11 0:00,2011,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1141 W WASHINGTON,CHICAGO,IL,60607
M,"1151 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.664562,41.883155,3080,58890120,2/18/11 0:00,2011,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1151 W WASHINGTON,CHICAGO,IL,60607
M,"1201 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.664766,41.883052,3596,62850274,7/31/13 0:00,2013,145,CPD-Other,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1201 W WASHINGTON,CHICAGO,IL,60607
M,"1209 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.664805,41.883046,5836,64497564,5/19/14 0:00,2014,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1209 W WASHINGTON,CHICAGO,IL,60607
U, ,0,0,2303,52072463,2/2/08 0:00,2008,216,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1212 W WELLS, , , 
M,"1261 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.665064,41.883042,2675,55821855,12/28/08 0:00,2008,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1261 W WASHINGTON,CHICAGO,IL,60607
M,"1301 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.665259,41.883075,4053,64842016,8/31/14 0:00,2014,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,MI,PAS,1301 W WASHINGTON,CHICAGO,IL,60607
M,"1307 E 55TH ST, CHICAGO, IL 60615",-87.59467,41.794989,3363,61261190,7/21/12 0:00,2012,2,CPD,940060,PARK/STAND ON BICYCLE PATH,4893985,IL,PAS,1307 E 55TH,CHICAGO,IL,60615
M,"1309 E 55TH ST, CHICAGO, IL 60615",-87.594602,41.79499,3364,61261191,7/21/12 0:00,2012,2,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1309 E 55TH,CHICAGO,IL,60615
U, ,0,0,4708,66830776,7/8/16 0:00,2016,3,CPD,940060,PARK/STAND ON BICYCLE PATH,4871027,IL,PAS,1327 S MARQUETTE, , , 
M,"1327 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.665382,41.883108,2524,54794616,9/4/08 0:00,2008,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,TRK,1327 W WASHINGTON,CHICAGO,IL,60607
M,"1329 E 55TH ST, CHICAGO, IL 60615",-87.59387,41.794995,3366,61261193,7/21/12 0:00,2012,2,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1329 E 55TH,CHICAGO,IL,60615
M,"1347 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.665475,41.883136,1652,65452896,3/14/15 0:00,2015,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1347 W WASHINGTON,CHICAGO,IL,60607
M,"1348 E 55TH ST, CHICAGO, IL 60615",-87.592905,41.794998,3362,61261189,7/21/12 0:00,2012,2,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1348 E 55TH,CHICAGO,IL,60615
M,"1350 E 55TH ST, CHICAGO, IL 60615",-87.592844,41.794999,5546,63679934,11/8/13 0:00,2013,2,CPD,940060,PARK/STAND ON BICYCLE PATH,183856,IL,HCP,1350 E 55TH,CHICAGO,IL,60615
M,"1352 E 55TH ST, CHICAGO, IL 60615",-87.592783,41.795,3361,61261188,7/21/12 0:00,2012,2,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1352 E 55TH,CHICAGO,IL,60615
M,"1354 E 55TH ST, CHICAGO, IL 60615",-87.592723,41.795004,3356,61261183,7/21/12 0:00,2012,2,CPD,940060,PARK/STAND ON BICYCLE PATH,0,PA,PAS,1354 E 55TH,CHICAGO,IL,60615
M,"1354 E 55TH ST, CHICAGO, IL 60615",-87.592723,41.795004,3357,61261184,7/21/12 0:00,2012,2,CPD,940060,PARK/STAND ON BICYCLE PATH,0,WI,PAS,1354 E 55TH,CHICAGO,IL,60615
M,"1354 E 55TH ST, CHICAGO, IL 60615",-87.592723,41.795004,3359,61261186,7/21/12 0:00,2012,2,CPD,940060,PARK/STAND ON BICYCLE PATH,4747316,IL,PAS,1354 E 55TH,CHICAGO,IL,60615
M,"1354 E 55TH ST, CHICAGO, IL 60615",-87.592723,41.795004,3360,61261187,7/21/12 0:00,2012,2,CPD,940060,PARK/STAND ON BICYCLE PATH,165673,IL,HCP,1354 E 55TH,CHICAGO,IL,60615
M,"1354 E 55TH ST, CHICAGO, IL 60615",-87.592723,41.795004,3414,61261195,7/27/12 0:00,2012,2,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1354 E 55TH,CHICAGO,IL,60615
M,"1354 E 55TH ST, CHICAGO, IL 60615",-87.592723,41.795004,4701,66998573,7/1/16 0:00,2016,2,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1354 E 55TH,CHICAGO,IL,60615
M,"1355 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.665512,41.883147,1651,65452462,3/14/15 0:00,2015,12,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1355 W WASHINGTON,CHICAGO,IL,60607
M,"1355 W WASHINGTON BLVD, CHICAGO, IL 60607",-87.665512,41.883147,3599,62685928,8/12/13 0:00,2013,211,CPD-Other,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,1355 W WASHINGTON,CHICAGO,IL,60607
M,"145 N CENTRAL PARK AVE, CHICAGO, IL 60624",-87.715079,41.882583,4613,66381912,6/21/16 0:00,2016,11,CPD,940060,PARK/STAND ON BICYCLE PATH,1489768,IL,TMP,145 N CENTRAL PARK,CHICAGO,IL,60624
M,"156 N CENTRAL PARK AVE, CHICAGO, IL 60624",-87.715103,41.882885,3763,62826948,2/19/14 0:00,2014,6,CPD,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,156 N CENTRAL PARK,CHICAGO,IL,60624
U, ,0,0,6163,64556764,12/12/14 0:00,2014,211,CPD-Other,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,200 W DEARBORN, , , 
